Name ; Type ; Value ; Comment
P_Rum_3_563.arrstTuneDataGruppe[1].arrLuxLevels[15];REAL;451,6031;
P_Rum_3_563.arrstTuneDataGruppe[1].arrLuxLevels[16];REAL;477,9466;
P_Rum_3_563.arrstTuneDataGruppe[1].arrLuxLevels[17];REAL;511,8168;
P_Rum_3_563.arrstTuneDataGruppe[1].arrLuxLevels[18];REAL;541,9236;
P_Rum_3_563.arrstTuneDataGruppe[1].arrLuxLevels[19];REAL;568,2672;
P_Rum_3_563.arrstTuneDataGruppe[1].arrLuxLevels[20];REAL;598,3741;
P_Rum_3_563.arrstTuneDataGruppe[1].bTunnigDone;BOOL;True;
P_Rum_3_563.arrstTuneDataGruppe[2].arrLuxLevels[0];REAL;3,763359;
P_Rum_3_563.arrstTuneDataGruppe[2].arrLuxLevels[1];REAL;3,763359;
P_Rum_3_563.arrstTuneDataGruppe[2].arrLuxLevels[2];REAL;56,45038;
P_Rum_3_563.arrstTuneDataGruppe[2].arrLuxLevels[3];REAL;90,32061;
P_Rum_3_563.arrstTuneDataGruppe[2].arrLuxLevels[4];REAL;116,6641;
P_Rum_3_563.arrstTuneDataGruppe[2].arrLuxLevels[5];REAL;146,771;
P_Rum_3_563.arrstTuneDataGruppe[2].arrLuxLevels[6];REAL;180,6412;
P_Rum_3_563.arrstTuneDataGruppe[2].arrLuxLevels[7];REAL;218,2748;
P_Rum_3_563.arrstTuneDataGruppe[2].arrLuxLevels[8];REAL;237,0916;
P_Rum_3_563.arrstTuneDataGruppe[2].arrLuxLevels[9];REAL;274,7252;
P_Rum_3_563.arrstTuneDataGruppe[2].arrLuxLevels[10];REAL;308,5954;
P_Rum_3_563.arrstTuneDataGruppe[2].arrLuxLevels[11];REAL;331,1756;
P_Rum_3_563.arrstTuneDataGruppe[2].arrLuxLevels[12];REAL;357,5191;
P_Rum_3_563.arrstTuneDataGruppe[2].arrLuxLevels[13];REAL;395,1527;
P_Rum_3_563.arrstTuneDataGruppe[2].arrLuxLevels[14];REAL;429,0229;
P_Rum_3_563.arrstTuneDataGruppe[2].arrLuxLevels[15];REAL;451,6031;
P_Rum_3_563.arrstTuneDataGruppe[2].arrLuxLevels[16];REAL;477,9466;
P_Rum_3_563.arrstTuneDataGruppe[2].arrLuxLevels[17];REAL;511,8168;
P_Rum_3_563.arrstTuneDataGruppe[2].arrLuxLevels[18];REAL;541,9236;
P_Rum_3_563.arrstTuneDataGruppe[2].arrLuxLevels[19];REAL;568,2672;
P_Rum_3_563.arrstTuneDataGruppe[2].arrLuxLevels[20];REAL;598,3741;
P_Rum_3_563.arrstTuneDataGruppe[2].bTunnigDone;BOOL;True;
P_Rum_3_563.byOnHoursOverflowCount;BYTE;0;
P_Rum_3_563.stPirSensorData.fBrightness;REAL;526,8702;
P_Rum_3_563.stPirSensorData.bPrc;BOOL;False;
P_Rum_3_563.stPirSensorData.bQueryBrightness;BOOL;False;
P_Rum_3_563.stPirSensorData.bBrightnessRead;BOOL;True;
P_Rum_3_563.uiBallastOnHours_MB;UINT;152;dintHMILysbraendtimer1 i gammel kode
P_Rum_3_563.uiPirOffDelayTime_MB;UINT;30;intHMI_Pir_SetValue i gammel kode
P_Rum_3_563.uiSPLuxLevel_MB;UINT;500;intHMI_Lux_SetValue i gammel kode
P_Rum_3_565.arrstTuneDataGruppe[1].arrLuxLevels[0];REAL;3,763359;
P_Rum_3_565.arrstTuneDataGruppe[1].arrLuxLevels[1];REAL;3,763359;
P_Rum_3_565.arrstTuneDataGruppe[1].arrLuxLevels[2];REAL;26,34351;
P_Rum_3_565.arrstTuneDataGruppe[1].arrLuxLevels[3];REAL;48,92366;
P_Rum_3_565.arrstTuneDataGruppe[1].arrLuxLevels[4];REAL;60,21374;
P_Rum_3_565.arrstTuneDataGruppe[1].arrLuxLevels[5];REAL;82,79389;
P_Rum_3_565.arrstTuneDataGruppe[1].arrLuxLevels[6];REAL;97,84733;
P_Rum_3_565.arrstTuneDataGruppe[1].arrLuxLevels[7];REAL;116,6641;
P_Rum_3_565.arrstTuneDataGruppe[1].arrLuxLevels[8];REAL;131,7176;
P_Rum_3_565.arrstTuneDataGruppe[1].arrLuxLevels[9];REAL;154,2977;
P_Rum_3_565.arrstTuneDataGruppe[1].arrLuxLevels[10];REAL;173,1145;
P_Rum_3_565.arrstTuneDataGruppe[1].arrLuxLevels[11];REAL;188,1679;
P_Rum_3_565.arrstTuneDataGruppe[1].arrLuxLevels[12];REAL;203,2214;
P_Rum_3_565.arrstTuneDataGruppe[1].arrLuxLevels[13];REAL;225,8015;
P_Rum_3_565.arrstTuneDataGruppe[1].arrLuxLevels[14];REAL;237,0916;
P_Rum_3_565.arrstTuneDataGruppe[1].arrLuxLevels[15];REAL;259,6718;
P_Rum_3_565.arrstTuneDataGruppe[1].arrLuxLevels[16];REAL;274,7252;
P_Rum_3_565.arrstTuneDataGruppe[1].arrLuxLevels[17];REAL;293,542;
P_Rum_3_565.arrstTuneDataGruppe[1].arrLuxLevels[18];REAL;308,5954;
P_Rum_3_565.arrstTuneDataGruppe[1].arrLuxLevels[19];REAL;323,6489;
P_Rum_3_565.arrstTuneDataGruppe[1].arrLuxLevels[20];REAL;338,7023;
P_Rum_3_565.arrstTuneDataGruppe[1].bTunnigDone;BOOL;True;
P_Rum_3_565.arrstTuneDataGruppe[2].arrLuxLevels[0];REAL;3,763359;
P_Rum_3_565.arrstTuneDataGruppe[2].arrLuxLevels[1];REAL;3,763359;
P_Rum_3_565.arrstTuneDataGruppe[2].arrLuxLevels[2];REAL;26,34351;
P_Rum_3_565.arrstTuneDataGruppe[2].arrLuxLevels[3];REAL;48,92366;
P_Rum_3_565.arrstTuneDataGruppe[2].arrLuxLevels[4];REAL;60,21374;
P_Rum_3_565.arrstTuneDataGruppe[2].arrLuxLevels[5];REAL;82,79389;
P_Rum_3_565.arrstTuneDataGruppe[2].arrLuxLevels[6];REAL;97,84733;
P_Rum_3_565.arrstTuneDataGruppe[2].arrLuxLevels[7];REAL;116,6641;
P_Rum_3_565.arrstTuneDataGruppe[2].arrLuxLevels[8];REAL;131,7176;
P_Rum_3_565.arrstTuneDataGruppe[2].arrLuxLevels[9];REAL;154,2977;
P_Rum_3_565.arrstTuneDataGruppe[2].arrLuxLevels[10];REAL;173,1145;
P_Rum_3_565.arrstTuneDataGruppe[2].arrLuxLevels[11];REAL;188,1679;
P_Rum_3_565.arrstTuneDataGruppe[2].arrLuxLevels[12];REAL;203,2214;
P_Rum_3_565.arrstTuneDataGruppe[2].arrLuxLevels[13];REAL;225,8015;
P_Rum_3_565.arrstTuneDataGruppe[2].arrLuxLevels[14];REAL;237,0916;
P_Rum_3_565.arrstTuneDataGruppe[2].arrLuxLevels[15];REAL;259,6718;
P_Rum_3_565.arrstTuneDataGruppe[2].arrLuxLevels[16];REAL;274,7252;
P_Rum_3_565.arrstTuneDataGruppe[2].arrLuxLevels[17];REAL;293,542;
P_Rum_3_565.arrstTuneDataGruppe[2].arrLuxLevels[18];REAL;308,5954;
P_Rum_3_565.arrstTuneDataGruppe[2].arrLuxLevels[19];REAL;323,6489;
P_Rum_3_565.arrstTuneDataGruppe[2].arrLuxLevels[20];REAL;338,7023;
P_Rum_3_565.arrstTuneDataGruppe[2].bTunnigDone;BOOL;True;
P_Rum_3_565.byOnHoursOverflowCount;BYTE;0;
P_Rum_3_565.stPirSensorData.fBrightness;REAL;218,2748;
P_Rum_3_565.stPirSensorData.bPrc;BOOL;False;
P_Rum_3_565.stPirSensorData.bQueryBrightness;BOOL;False;
P_Rum_3_565.stPirSensorData.bBrightnessRead;BOOL;False;
P_Rum_3_565.uiBallastOnHours_MB;UINT;144;dintHMILysbraendtimer1 i gammel kode
P_Rum_3_565.uiPirOffDelayTime_MB;UINT;30;intHMI_Pir_SetValue i gammel kode
P_Rum_3_565.uiSPLuxLevel_MB;UINT;500;intHMI_Lux_SetValue i gammel kode
P_SystemDK.fbWritePersistentDataDK.FB_WritePersistentDataDK_M_n1_Second_UPS_fbS_UPS_BAPI.bUseInfo;BOOL;False;
P_SystemDK.fbWritePersistentDataDK.FB_WritePersistentDataDK_M_n1_Second_UPS_fbS_UPS_BAPI.nIoAddr;UDINT;0;
P_SystemDK.fbWritePersistentDataDK.FB_WritePersistentDataDK_M_n1_Second_UPS_fbS_UPS_BAPI.nOffset;BYTE;0;
P_SystemDK.fbWritePersistentDataDK.FB_WritePersistentDataDK_M_n1_Second_UPS_fbS_UPS_BAPI.nParams;BYTE;0;
P_SystemDK.fbWritePersistentDataDK.FB_WritePersistentDataDK_M_n1_Second_UPS_fbS_UPS_BAPI.bUseInfoEx;BOOL;True;
P_SystemDK.fbWritePersistentDataDK.FB_WritePersistentDataDK_M_n1_Second_UPS_fbS_UPS_BAPI.stGpioInfoEx.nType;UINT;2;
P_SystemDK.fbWritePersistentDataDK.FB_WritePersistentDataDK_M_n1_Second_UPS_fbS_UPS_BAPI.stGpioInfoEx.nLength;UINT;8;
P_SystemDK.fbWritePersistentDataDK.FB_WritePersistentDataDK_M_n1_Second_UPS_fbS_UPS_BAPI.stGpioInfoEx.nFlags;WORD;1; 	Bit0-1: 	00 = Not valid, 01 = RO, 			10 = WO, 		11 = RW, 							Bit2-4: 	00 = lowActive,	01 = highActive,	10 = reserved	11 = Toggle, 							Bit4-15:	reserved 
P_SystemDK.fbWritePersistentDataDK.FB_WritePersistentDataDK_M_n1_Second_UPS_fbS_UPS_BAPI.stGpioInfoEx.nReserved2;UINT;0;
P_SystemDK.fbWritePersistentDataDK.FB_WritePersistentDataDK_M_n1_Second_UPS_fbS_UPS_BAPI.stGpioInfoEx.nAddress;DWORD;2080397936;
P_SystemDK.fbWritePersistentDataDK.FB_WritePersistentDataDK_M_n1_Second_UPS_fbS_UPS_BAPI.stGpioInfoEx.nReserved3;DWORD;65535;
P_SystemDK.fbWritePersistentDataDK.FB_WritePersistentDataDK_M_n1_Second_UPS_fbS_UPS_BAPI.stGpioInfoEx.nBitmask;DWORD;1;
P_SystemDK.fbWritePersistentDataDK.FB_WritePersistentDataDK_M_n1_Second_UPS_fbS_UPS_BAPI.stGpioInfoEx.nReserved4;DWORD;0;
